"Year","Tournament/Event","Category","Winner","Runner-up","Semi-finalists","Quarter-finalists/Other Rounds","Currency","Source URL","Notes"
"2026","Malaysia Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Per-round discipline payout table not available from accessible official source in this environment. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
