"Year","Tournament/Event","Category","Winner","Runner-up","Semi-finalists","Quarter-finalists/Other Rounds","Currency"
"2024","All England Open (Super 1000)","MD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","All England Open (Super 1000)","MS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","All England Open (Super 1000)","WD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","All England Open (Super 1000)","WS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","All England Open (Super 1000)","XD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","China Open (Super 1000)","MD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD"
"2024","China Open (Super 1000)","MS","140,000.00","68,000.00","28,000.00","QF: 11,000.00; R16: 6,000.00; R32: 2,000.00","USD"
"2024","China Open (Super 1000)","WD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD"
"2024","China Open (Super 1000)","WS","140,000.00","68,000.00","28,000.00","QF: 11,000.00; R16: 6,000.00; R32: 2,000.00","USD"
"2024","China Open (Super 1000)","XD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD"
"2024","Indonesia Open (Super 1000)","MD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","Indonesia Open (Super 1000)","MS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","Indonesia Open (Super 1000)","WD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","Indonesia Open (Super 1000)","WS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","Indonesia Open (Super 1000)","XD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","Malaysia Open (Super 1000)","MD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","Malaysia Open (Super 1000)","MS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","Malaysia Open (Super 1000)","WD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","Malaysia Open (Super 1000)","WS","91,000.00","44,200.00","18,200.00","QF: 7,150.00; R16: 3,900.00; R32: 1,300.00","USD"
"2024","Malaysia Open (Super 1000)","XD","96,200.00","45,500.00","18,200.00","QF: 8,125.00; R16: 4,225.00; R32: 1,300.00","USD"
"2024","World Tour Finals","MD","210,000.00","100,000.00","50,000.00","3rd in Group: 32,500.00; 4th in Group: 17,500.00","USD"
"2024","World Tour Finals","MS","200,000.00","100,000.00","50,000.00","3rd in Group: 27,500.00; 4th in Group: 15,000.00","USD"
"2024","World Tour Finals","WD","210,000.00","100,000.00","50,000.00","3rd in Group: 32,500.00; 4th in Group: 17,500.00","USD"
"2024","World Tour Finals","WS","200,000.00","100,000.00","50,000.00","3rd in Group: 27,500.00; 4th in Group: 15,000.00","USD"
"2024","World Tour Finals","XD","210,000.00","100,000.00","50,000.00","3rd in Group: 32,500.00; 4th in Group: 17,500.00","USD"
"2025","All England Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","All England Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","All England Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","All England Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","All England Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","China Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","China Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","China Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","China Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","China Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Indonesia Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Indonesia Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","Indonesia Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Indonesia Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","Indonesia Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Malaysia Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Malaysia Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","Malaysia Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","Malaysia Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
"2025","Malaysia Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2025","World Tour Finals","MD","252,000.00","120,000.00","60,000.00","3rd in Group: 39,000.00; 4th in Group: 21,000.00","USD"
"2025","World Tour Finals","MS","240,000.00","120,000.00","60,000.00","3rd in Group: 33,000.00; 4th in Group: 18,000.00","USD"
"2025","World Tour Finals","WD","252,000.00","120,000.00","60,000.00","3rd in Group: 39,000.00; 4th in Group: 21,000.00","USD"
"2025","World Tour Finals","WS","240,000.00","120,000.00","60,000.00","3rd in Group: 33,000.00; 4th in Group: 18,000.00","USD"
"2025","World Tour Finals","XD","252,000.00","120,000.00","60,000.00","3rd in Group: 39,000.00; 4th in Group: 21,000.00","USD"
"2026","All England Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD"
"2026","All England Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD"
