Category,Open (Men's),,,,,
Position,World Chess Championship (Open),Candidates (Open), Tata Steel,Norway Chess,Sinquefield Cup,Chennai GM
Winner,$1.2M–$1.8M,$100k–$120k,"$50,000","$60,000","$70,000","$40,000"
Runner,$800k–$1.2M,$80k–$100k,"$30,000","$40,000","$50,000","$30,000"
3,,$70k–$90k,"$25,000","$35,000","$40,000","$25,000"
4,,$60k–$80k,"$20,000","$30,000","$35,000","$20,000"
5,,$50k–$60k,"$20,000","$25,000","$30,000","$15,000"
6,,$40k–$50k,"$15,000","$20,000","$25,000","$10,000"
7,,$30k–$40k,"$15,000","$15,000","$20,000","$5,000"
8,,$20k–$30k,"$15,000","$15,000","$20,000","$5,000"
,,,,,,
Category,Women's,,,,,
Position,Women’s World Championship,Women’s Candidates,,,,
Winner,$300k–$600k,$50k–$60k,,,,
Runner,$200k–$400k,$40k–$50k,,,,
3,,$30k–$40k,,,,
4,,$25k–$30k,,,,
5,,$20k–$25k,,,,
6,,$15k–$20k,,,,
7,,$10k–$15k,,,,
8,,$5k–$10k,,,,
,,,,,,
Category,Both,,,,,
Position,Grand Swiss,Grand Prix,Qatar Masters,Dubai Open,Gibraltar,
Winner,"$50,000","$50,000","$30,000","$25,000","$20,000",
Runner,"$30,000","$40,000","$20,000","$15,000","$15,000",
3,"$25,000","$30,000","$15,000","$12,000","$10,000",
4,"$20,000","$25,000","$10,000","$10,000","$8,000",
5,"$15,000","$20,000","$8,000","$8,000","$7,000",
6,"$10,000","$15,000","$5,000","$5,000","$5,000",
7,"$5,000","$10,000","$5,000","$5,000","$5,000",
8,"$5,000","$10,000","$5,000","$5,000","$5,000",
