Golf - Majors Men,,,,,,,,,
Finish,Masters ($21M),U.S. Open ($21.5M),PGA Championship ($19M),The Open ($17M),,,,,
1,4200000,4300000,3420000,3100000,,,,,
2,2268000,2322000,2052000,1759000,,,,,
3,1428000,1459284,1292000,1128000,,,,,
4,1008000,1023014,912000,876000,,,,,
5,840000,852073,760000,705000,,,,,
6,756000,755520,683880,611000,,,,,
7,703500,681131,640220,525000,,,,,
8,651000,610034,598270,442500,,,,,
9,609000,552103,558140,388000,,,,,
10,567000,507118,519830,350600,,,,,
11,525000,462792,483360,319200,,,,,
12,483000,427901,448700,282800,,,,,
13,441000,398716,415870,266000,,,,,
14,399000,367995,384860,249000,,,,,
15,378000,341663,355680,231000,,,,,
16,357000,319719,328320,212700,,,,,
17,336000,302164,302780,202400,,,,,
18,315000,284609,279070,193000,,,,,
19,294000,267054,257180,184900,,,,,
20,273000,249499,237120,176200,,,,,
21,252000,234358,218880,168000,,,,,
22,235200,219217,202460,159600,,,,,
23,218400,204515,187870,151000,,,,,
24,201600,190910,176010,142600,,,,,
25,184800,179060,164610,137800,,,,,
26,168000,168966,153670,131800,,,,,
27,161700,161286,143180,127000,,,,,
28,155400,154483,133150,122600,,,,,
29,149100,147900,123570,117300,,,,,
30,142800,141317,114450,111200,,,,,
31,136500,134734,107160,107600,,,,,
32,130200,128151,100770,102100,,,,,
33,123900,121567,95300,98500,,,,,
34,118650,115643,90740,95700,,,,,
35,113400,110815,87100,92400,,,,,
36,108150,105987,83630,88700,,,,,
37,102900,101379,80260,84600,,,,,
38,98700,96991,76970,80300,,,,,
39,94500,92602,73780,77400,,,,,
40,90300,88213,70680,74900,,,,,
41,86100,83824,67670,71800,,,,,
42,81900,79436,64750,68300,,,,,
43,-,75047,61920,65200,,,,,
44,-,70658,59190,61500,,,,,
45,-,66269,56540,58000,,,,,
46,-,62320,53990,55000,,,,,
47,-,58370,51530,52800,,,,,
48,-,54639,49160,50700,,,,,
49,-,52445,46880,48400,,,,,
50,-,50251,44690,47200,,,,,
51,-,48934,42590,46200,,,,,
52,-,47837,40580,45400,,,,,
53,-,46959,38670,44700,,,,,
54,-,46520,36840,44000,,,,,
55,-,46081,35110,43300,,,,,
56,-,45642,33470,42700,,,,,
57,-,45203,31920,42300,,,,,
58,-,44765,30640,42000,,,,,
59,-,44326,29550,41700,,,,,
60,-,43887,28640,41400,,,,,
61,-,43448,27910,41200,,,,,
62,-,43009,27380,41000,,,,,
63,-,42570,26920,40800,,,,,
64,-,42131,26490,40600,,,,,
65,-,41692,26080,40300,,,,,
