FIFA, Position,FIFA World Cup 2026,FIFA Club World Cup,,,,,,,
,Champion,"$50,000,000","$5,000,000",,,,,,,
,Runner‑up,"$33,000,000","$4,000,000",,,,,,,
,3rd Place,"$29,000,000","$2,500,000",,,,,,,
,4th Place,"$27,000,000","$2,000,000",,,,,,,
,5th–8th,"$19,000,000","$1,500,000",,,,,,,
,6th,"$19,000,000","$1,000,000",,,,,,,
,7th,"$19,000,000","$500,000",,,,,,,
,8th,"$19,000,000",,,,,,,,
,9th–16th,"$13,000,000",,,,,,,,
,17th–32nd,"$11,000,000",,,,,,,,
,33rd–48th,"$10,500,000",,,,,,,,
,Participation,"$2,000,000",,,,,,,,
,,,,,,,,,,
Continental, Position,CAF Champions League,"UEFA EURO 
2024",Copa América 2024,"CAF Champions League 
(Africa)",Africa Cup of Nations (AFCON),UEFA Europa League (2023/24),CONMEBOL Copa Libertadores (2024),UEFA Champions League,"AFC Asian Cup 
2023"
,Champion,"$6,000,000","€ 8,000,000","$16,000,000","$6,000,000","$7,000,000","€ 8,600,000","$18,000,000","€ 25,000,000","$5,000,000"
,Runner‑up,"$2,000,000","€ 5,000,000","$7,000,000","$2,000,000","$4,000,000","€ 4,600,000","$7,000,000","€ 18,500,000","$3,000,000"
,Semi‑finalists,"$1,200,000","€ 4,000,000",,"$1,200,000","$2,500,000","€ 2,800,000","$2,300,000","€ 15,000,000","$1,000,000"
,Quarter‑finalists,"$900,000","€ 2,500,000",,$900k ,"$1,300,000","€ 1,800,000","$1,700,000","€ 12,500,000",
,Round of 16,,"€ 1,500,000",,,,"€ 1,200,000","$1,250,000","€ 11,000,000",
,Group Stage Win,,"€ 1,000,000",,,,"€ 630,000","$330,000","€ 2,100,000",
,Group Stage Draw,,"€ 500,000",,,,"€ 210,000",,"€ 700,000",
,Participation,,"€ 9,250,000",,,,,"$3,000,000","€ 18,620,000","$200,000"
