Singles Mens and Womens,Round,"Prize Money (AUD)
Australian Open 2026 ","Prize Money (USD)
US Open 2025","Prize Money (Euros)
Roland‑Garros (French Open) 2025",Wimbledon 2025 (GBP),"Prize Money (USD)
National Bank Open (Toronto) 2025",,Level,Men’s Tour,Women’s Tour,Points for Winner,Prestige
,Winner,4150000,5000000,2550000,"£3,000,000",1124380,,1,Grand Slams,Grand Slams,2000,Highest
,Runner up,2150000,2500000,1275000,"£1,520,000",597890,,2,ATP Masters 1000,WTA 1000,1000,Elite
,Semi finalists,1250000,1260000,690000,"£775,000",332160,,3,ATP 500,WTA 500,500,High
,Quarter finalists,750000,660000,440000,"£400,000",189075,,4,ATP 250,WTA 250,250,Mid-level
,Round of 16,480000,400000,265000,"£240,000",103225,,5,ATP Challenger,WTA 125K / ITF,50–175,Development
,Round of 32,327750,237000,168000,"£152,000",60400,,6,ITF World Tennis Tour,ITF World Tennis Tour,15–100,Entry-level
,Round of 64,225000,154000,117000,"£99,000",35260,,,,,,
,First Round,150000,110000,78000,"£66,000",23760,,,Tier,Typical Winner Earnings,Notes,
,Qualifying Q3,83500,57200,43000,"£38,000",,,,Masters 1000,€900k–€1.2M,Verified example: Rome 2025 (€985k),
,Qualifying Q2,57000,41800,29500,"£25,000",,,,ATP/WTA 500,$300k–$700k,Some exceed Masters payouts,
,Qualifying Q1,40500,27500,21000,"£15,750",,,,ATP/WTA 250,$90k–$120k,Highly variable,
,,,,,,,,,Challenger,$5k–$20k,Low pay; high expenses,
Doubles Men's and Women's,Round,"Prize Money (AUD)
Australian Open 2026 ","Prize Money (USD)
US Open 2025","Prize Money (Euros)
Roland‑Garros (French Open) 2025",Wimbledon 2025 (GBP),"Prize Money (USD)
National Bank Open (Toronto) 2025",,,ITF World Tour,$2k–$15k,Entry-level; many players lose money,
,Winner,"A$900,000",1000000,590000,680000,,,,,,,
,Runner‑Up,"A$485,000",500000,295000,345000,,,,,,,
,Semifinalists,"A$275,000",250000,148000,174000,,,,,,,
,Quarterfinalists,"A$158,000",125000,80000,87500,,,,,,,
,Third Round,"A$92,000",75000,43500,43750,,,,,,,
,Second Round,"A$64,000",45000,27500,26000,,,,,,,
,First Round,"A$44,000",30000,17500,16500,,,,,,,
,,,,,,,,,,,,
Mixed Doubles,Round,"Prize Money (AUD)
Australian Open 2026 ","Prize Money (USD)
US Open 2025","Prize Money (Euros)
Roland‑Garros (French Open) 2025",Wimbledon 2025 (GBP),"Prize Money (USD)
National Bank Open (Toronto) 2025",,,,,,
,Winner,175000,1000000,122000,135000,,,,,,,
,Runner‑Up,97750,400000,61000,68000,,,,,,,
,Semifinalists,52500,200000,31000,34000,,,,,,,
,Quarterfinalists,27750,100000,17500,17500,,,,,,,
,Round of 16,14000,20000,10000,9000,,,,,,,
,First Round,7250,,5000,4500,,,,,,,
